ID_text,Title,Author,Editor,Additional info,nodegoat ID
1,Rötteler Chronik,,,,ngIX4Y676GtU1GXxzG801TtepGU
1,Rötteler Chronik,,,,ngMB5C070LBY2KBZdKk4uXxCtMO
1,Rötteler Chronik,,,,ngIX7Y272HdU3GXfzGA63TtOpGK
1,Rötteler Chronik,,,,ngNC7D777MSZvLCMeMl12YyfuLZ
1,Rötteler Chronik,,,,ngJY2Z171HOV4HYUaIB5tUuHqIr
1,Rötteler Chronik,,,,ngLA2B373JQX4JAacLD74WwzsLN
2,Libellus de magnificentia ducis Burgundiae in Treveris visa conscriptus,,,,ngZO3P777XELjXOMqXR1jKkrgYL
3,Konstanzer Jahrgeschichten,,,,ngLA4B979KAXuJAacLD34WwBsJN
3,Konstanzer Jahrgeschichten,,,,ngOD5E272MjA6MDRfM463ZzIvMQ
3,Konstanzer Jahrgeschichten,,,,ngQF5G474OlC6OFThOY86BbAxOy
3,Konstanzer Jahrgeschichten,,,,ngZO6P373YEL8XOQqXR73KkJgYh
3,Konstanzer Jahrgeschichten,,,,ngAP6Q474ZFM8YPVrZI87LlUhZs
3,Konstanzer Jahrgeschichten,,,,ngIX7Y272HdU3GXfzGA63TtOpGK
3,Konstanzer Jahrgeschichten,,,,ngYN8O878WjK8WNTpYG29JjS
3,Konstanzer Jahrgeschichten,,,,ngBQ9V171ZQN4ZQWsZJ5lMmD
3,Konstanzer Jahrgeschichten,,,,ngCR9S272CHO5ARTtAU6mNny
3,Konstanzer Jahrgeschichten,,,,ngDS4T171BIPoBSYuCL54OozkCF
3,Konstanzer Jahrgeschichten,,,,ngLA4B979KAXuJAecJT33WwdsJt
4,Konstanzer Bischofsliste,,,,ngLA4B979KAXuJAacLD34WwBsJN
4,Konstanzer Bischofsliste,,,,ngQF5G474OlC6OFThOY86BbAxOy
4,Konstanzer Bischofsliste,,,,ngZO6P373YEL8XOQqXR73KkJgYh
4,Konstanzer Bischofsliste,,,,ngAP6Q474ZFM8YPVrZI87LlUhZs
4,Konstanzer Bischofsliste,,,,ngYN8O878WjK8WNTpYG29JjS
4,Konstanzer Bischofsliste,,,,ngBQ9V171ZQN4ZQWsZJ5lMmD
4,Konstanzer Bischofsliste,,,,ngCR9S272CHO5ARTtAU6mNny
4,Konstanzer Bischofsliste,,,,ngDS4T171BIPoBSYuCL54OozkCF
4,Konstanzer Bischofsliste,,,,ngLA4B979KAXuJAecJT33WwdsJt
5,Züricher Chronik,,,,ngET4U272CpQ6CTLvCM64PpGlDw
8,Weltchronik,Rudolf von Ems,,,ngIX7Y272HdU3GXfzGA63TtOpGK
9,Sächsische Weltchronik,,,,ngIX7Y272HdU3GXfzGA63TtOpGK
10,Alexander,Pfaffe Lamprecht,,Basler Bearbeitung,ngIX7Y272HdU3GXfzGA63TtOpGK
11,Reisebeschreibung,Jean de Mandeville,Otto von Diemering,dt. Übersetzung,ngPE7F979OUBaNESgNn33AaBwNh
11,Reisebeschreibung,Jean de Mandeville,Otto von Diemering,dt. Übersetzung,ngAP3Q878YFMjYPNrZS20LlshZC
12,Historia trium regum,Johannes von Hildesheim,,,ngAP1s272ZPM7YPHrZS6iLlw
12,Historia trium regum,Johannes von Hildesheim,,,ngAP3Q878YFMjYPNrZS20LlshZC
13,Salzburger Bistumschronik: Chronica pontificum sancte Salczeburgensis ecclesie,,,,ngRG8H171QWD3PGCiQZ5aCcPyRT
14,Salzburger Bischofsliste: Catalogus brevis omnium presulum Saltzburgensium,,,,ngNC5D171MCZ2LCAeLV5vYyPuLZ
15,Haguenauer Chronik,,,,ngMB7C676LRYvKBLdL801XxOtLu
16,Cleomades Fragment,Adenes,,dt. Übersetzung,ngNC7D777MSZvLCMeMl12YyfuLZ
17,Vocabularius Ex quo,,,,ngUJ3K272SJG4SJBlS46dFfKbUW
18,Burgundische Legende,,,,ngRG0n373RWDaPGMiQJ7bCcX
18,Burgundische Legende,,,,ngVK3L373TKH4TKCmTt7eGgHcUH
19,Österreichische Chronik von den 95 Herrschaften,,,,ngYN8O878WjK8WNTpYG29JjS
19,Österreichische Chronik von den 95 Herrschaften,,,,ngWL6M070UhI2ULJnVE40HhMdVI
20,König- und Kaiserchronik,Jakob Twinger von Königshofen,Johann Bämler,Druck  GW M48346,ngSH8I272RXE3QHljQK62DdMzQk
21,Gmünder Chronik,,,,ngOD5E272MjA6MDRfM463ZzIvMQ
22,Reformation Kaiser Sigismunds,,,,ngNC5D171MCZ2LCAeLV5vYyPuLZ
22,Reformation Kaiser Sigismunds,,,,ngAP6Q474ZFM8YPVrZI87LlUhZs
22,Reformation Kaiser Sigismunds,,,,ngBQ6R575AwNlZQEsBT90MmxiZj
23,Reformation Friedrichs,,,,ngGV4W474ErS6EVFxFO8qRrMnFy
23,Reformation Friedrichs,,,,ngJY4Z777IYVuHYgaI91uUuVqHL
