nodegoat ID,Institution,Call no.,Sigle,Folio no.,Material,Language,illustrated,Exact date of origin,Date of origin,Place of origin,Place certain,Chronicle Version,Additional info
ngHW4X575GWTpFWOyHZ96SsToGp,"Augsburg, Staats- und Stadtbibl.",2° Cod. 169,Aug1,225,Papier,alemannisch/elsässisch/schwäbisch,,,15in,Oberrhein ,no,A,
ngDS6T777CyPlBSCuBV18OozkDF,"Bamberg, Staatsarchiv",Rep. A 245/I Nr. 67,Bam1,336,Papier,,,,17,,no,,
ngHW1d979FsT9FWKyHZ3rSsJ,"Basel, Universitätsbibl.",A λ IV 14,Bas1,123,Papier (HS + Druck),,yes,,16in,Basel (CH),yes,,
ngIX4Y676GtU1GXxzG801TtepGU,"Basel, Universitätsbibl.",E I 1,Bas2,216,Papier,alemannisch/elsässisch/schwäbisch,,,15in,Basel (CH),yes,B,
ngMB5C070LBY2KBZdKk4uXxCtMO,"Basel, Universitätsbibl.",E I 1h,Bas3,505,Papier,alemannisch/elsässisch/schwäbisch,,,15med,Basel (CH),yes,B,Abschrift von Basel UB E I 1
ngJY4Z777IYVuHYgaI91uUuVqHL,"Basel, Universitätsbibl.",E I 4,Bas4,641,Papier,,,,15med,Basel (CH),yes,lat.,
ngLA7B575KAX7JAicLD9vWwRsKX,"Basel, Universitätsbibl.",E II 11,Bas5,617,Papier,alemannisch/elsässisch/schwäbisch,,,15med,,no,(D),
ngIX7Y272HdU3GXfzGA63TtOpGK,"Basel, Universitätsbibl.",E VI 26,Bas6,231,Papier,,,,15in,Basel (CH),yes,,
ngJY2Z171HOV4HYUaIB5tUuHqIr,"Basel, Universitätsbibl.",H IV 27,Bas7,375,Papier,,,,16med,Basel (CH),yes,,Magister Berlinger schrieb noch weitere Codices
ngOD2E676MjAzMDBfN809ZzQvNA,"Berlin, Staatsbibl.",mgf 673,Ber1,187,Papier,,,,16med,Strasbourg (FR),no,,
ngKZ7A474JZW7IZhbKS8vVvQrIs,"Berlin, Staatsbibl.",mgf 769,Ber2,192,Pergament,,,,15in,Colmar (FR),no,B,
ngJY7Z373IYV8HYWaHB7uUuDqJV,"Berlin, Staatsbibl.",mgf 839,Ber3,205,Papier,bayrisch/österreichisch,,,15,Hall (Tirol) (AT),yes,B,
ngNC5D171MCZ2LCAeLV5vYyPuLZ,"Berlin, Staatsbibl.",mgq 1143,Ber4,301,Papier,,,1492,15ex,Linz (AT),yes,GW 03164,Grafen von Starhemberg auf Riedegg besaßen weitere Codices
ngOD7E878NTA8MDZfMG2xZzYvNQ,"Berlin, Staatsbibl.",mgq 1534,Ber5,184,Papier,,,,15,,no,,
ngMB7C676LRYvKBLdL801XxOtLu,"Bern, Burgerbibl.",Cod. A 49,Brn1,188,Papier,,,,15,Elsass (Haut et Bas Rhin) (FR),yes,B,
ngWL8M676VBIgULpnVE0hHho,"Bern, Burgerbibl.",Mss. H.h. I.41,Brn2,392,Papier,,,1469,15med,Bern ,yes,(D),
ngNC7D777MSZvLCMeMl12YyfuLZ,"Bern, Burgerbibl.",Mss. H.h. VII.81,Brn3,375,Papier,,,1452,15med,Basel (CH),no,A,
ngLA2B373JQX4JAacLD74WwzsLN,"Bern, Burgerbibl.",H.h. X 275,Brn4,90,unbekannt,,,1803,19,Bern (CH),yes,,
ngET6U878DzQ8CTLvDW2mPpQlCw,"Bern, Burgerbibl.",Mss. Mül. 211 (früher Mül. 318),Brn5,204,Papier,,,,15med,Bern (CH),yes,(D),"folgt Zürich, ZB, Cod. A 122"
ngXM8N777WMJhVMmoWF19IiN,"Colmar, Stadtbibliothek",Ms. 517 (Kat.-Nr. 850),Col1,111,Papier,,,,16,,no,,
ngPE7F979OUBaNESgNn33AaBwNh,"Colmar, Stadtbibliothek",Ms. 518 (Kat.-Nr. 849),Col2,367,Papier,,,,15,,no,(D),
ngTI3J171RoFeRIOkSr56EelaSl,"Darmstadt, Universitäts- und Landesbibl.",Hs. 115,Dar1,330,Papier,alemannisch/elsässisch/schwäbisch,,,15med,,no,A,
ngUJ3K272SJG4SJBlS46dFfKbUW,"Darmstadt, Universitäts- und Landesbibl.",Hs. 190,Dar2,269,Papier,fränkisch/rheinfränkisch/moselfränkisch,,,15med,,no,C,
ngVK3L373TKH4TKCmTt7eGgHcUH,"Dresden, Landesbibl.",Mscr. F 98,Dre1,281,Papier,,,1471,15ex,Strasbourg (FR),yes,(D),
ngKZ2A272IPW4IZzbKS64VvArIc,"Einsiedeln, Stiftsbibl.",428 (561),Ein1,337,Papier,,,1796,18ex,Einsiedeln (CH),yes,,
ngWL3M474ULI9ULtnUE87HhGdWY,"Frankfurt a. M., Universitätsbibl.",Ms. germ. qu. 23,Fra1,243,Papier,alemannisch/elsässisch/schwäbisch,,,15in,Elsass (Haut et Bas Rhin) (FR),yes,A,
ngZO8P979YkL1XOKqXH32KkP,"Frankfurt a. M., Universitätsbibl.",Ms. germ. qu. 53,Fra2,326,Papier,fränkisch/rheinfränkisch/moselfränkisch,yes,1432,15in,Mittelrhein,no,(D),
ngXM3N575VMJ9VMuoVP98IiDeXJ,"Freiburg i. Br., Stadtarchiv",B 1 Nr. 200,Fre1,20,Papier,alemannisch/elsässisch/schwäbisch,,,15med,,no,A,
ngLA4B979KAXuJAacLD34WwBsJN,"Freiburg i. Br., Universitätsbibl.",Hs. 471,Fre2,214,Papier,,,1495,15in,,no,(D),
ngAP9Q070ZvM2YPHrYI42Llo,"Gießen, Universitätsbibl.",Hs. 178,Gie1,279,Papier,alemannisch/elsässisch/schwäbisch,,,15in,Elsass (Haut et Bas Rhin) (FR),yes,B,
ngCR6S676BxOlARFtB801NnujBO,"Gießen, Universitätsbibl.",Hs. 179,Gie2,386,Papier,alemannisch/elsässisch/schwäbisch,,1496,15ex,Strasbourg (FR),yes,C;  GW 03163,Vorlage Hs. und Druck GW 03163
